"No.","Time","Source","Destination","Protocol","Length","Info"
"441","35.765609","10.112.112.11","10.112.112.19","TCP","54","1883  >  57822 [ACK] Seq=5 Ack=261 Win=65275 Len=0"
"443","37.456812","10.112.112.19","10.112.112.11","TCP","146","[TCP Retransmission] 57821  >  1883 [PSH, ACK] Seq=555 Ack=4 Win=5691 Len=92"
"444","37.456812","10.112.112.19","10.112.112.11","TCP","1114","[TCP Retransmission] 57821  >  1883 [FIN, PSH, ACK] Seq=647 Ack=4 Win=5691 Len=1060"
"445","37.457061","10.112.112.11","10.112.112.19","TCP","54","1883  >  57821 [RST, ACK] Seq=4 Ack=1707 Win=0 Len=0"
"455","40.014301","10.112.112.19","10.112.112.11","TCP","100","[TCP Spurious Retransmission] 57822  >  1883 [PSH, ACK] Seq=215 Ack=5 Win=5740 Len=46"
"456","40.014386","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 441#1] 1883  >  57822 [ACK] Seq=5 Ack=261 Win=65275 Len=0"
"457","40.325408","10.112.112.19","10.112.112.11","MQTT","238","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"458","40.379851","10.112.112.11","10.112.112.19","TCP","54","1883  >  57822 [ACK] Seq=5 Ack=445 Win=65091 Len=0"
"459","41.448168","10.112.112.19","10.112.112.11","TCP","238","[TCP Spurious Retransmission] 57822  >  1883 [PSH, ACK] Seq=261 Ack=5 Win=5740 Len=184"
"460","41.448227","10.112.112.11","10.112.112.19","TCP","54","[TCP Dup ACK 458#1] 1883  >  57822 [ACK] Seq=5 Ack=445 Win=65091 Len=0"
"461","41.755624","10.112.112.19","10.112.112.11","MQTT","146","Publish Message [iot/sensor], Publish Message [iot/sensor]"
"462","41.801538","10.112.112.11","10.112.112.19","TCP","54","1883  >  57822 [ACK] Seq=5 Ack=537 Win=64999 Len=0"
"483","48.413975","10.112.112.19","10.112.112.11","MQTT","100","Publish Message [iot/sensor]"
"485","48.455412","10.112.112.11","10.112.112.19","TCP","54","1883  >  57822 [ACK] Seq=5 Ack=583 Win=64953 Len=0"
"518","61.726361","10.112.112.19","10.112.112.11","MQTT","884","Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Ping Request, Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor], Publish Message [iot/sensor]"
"521","62.642362","10.112.112.19","10.112.112.11","TCP","58","57823  >  1883 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"528","63.882082","10.112.112.11","10.112.112.19","MQTT","56","Ping Response"
"530","65.411912","10.112.112.19","10.112.112.11","TCP","58","[TCP Retransmission] 57823  >  1883 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"531","65.661431","10.112.112.11","10.112.112.19","TCP","58","1883  >  57823 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"532","65.832770","10.112.112.11","10.112.112.19","TCP","56","[TCP Retransmission] 1883  >  57822 [FIN, PSH, ACK] Seq=5 Ack=1414 Win=64123 Len=2"
"533","65.840320","10.112.112.19","10.112.112.11","TCP","54","57823  >  1883 [RST, ACK] Seq=1 Ack=1 Win=28694 Len=0"
"534","65.853692","10.112.112.19","10.112.112.11","TCP","54","57822  >  1883 [RST, ACK] Seq=1414 Ack=8 Win=28694 Len=0"
"536","67.670093","10.112.112.19","10.112.112.11","TCP","58","57824  >  1883 [SYN] Seq=0 Win=5744 Len=0 MSS=1436"
"537","67.670362","10.112.112.11","10.112.112.19","TCP","58","1883  >  57824 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"538","67.679122","10.112.112.19","10.112.112.11","TCP","54","57824  >  1883 [ACK] Seq=1 Ack=1 Win=5744 Len=0"
"539","67.684445","10.112.112.19","10.112.112.11","MQTT","84","Connect Command"
"540","67.684732","10.112.112.11","10.112.112.19","MQTT","58","Connect Ack"
